index,Location_Center_X,Location_Center_Y,Metadata_Site,Metadata_Timepoint,Metadata_Well,track_id,unique_id,unique_time,Location_Center_Y_Zeroed,Location_Center_X_Zeroed,Classifier,flags
72,272.1798419,517.201581,244,19,B3,2,WB3_S0244_E2,WB3_S0244_E2_T19,57.29974054,47.14712206,C,None
73,278.9755102,522.6020408,244,20,B3,2,WB3_S0244_E2,WB3_S0244_E2_T20,62.70020033,53.94279037,C,None
74,283.6522634,529.7716049,244,21,B3,2,WB3_S0244_E2,WB3_S0244_E2_T21,69.86976445,58.61954354,C,None
75,282.4922481,529.1724806,244,22,B3,2,WB3_S0244_E2,WB3_S0244_E2_T22,69.27064013,57.45952823,C,None
76,282.5545287,528.7578558,244,23,B3,2,WB3_S0244_E2,WB3_S0244_E2_T23,68.85601533,57.52180881,C,None
77,280.1527273,526.6090909,244,24,B3,2,WB3_S0244_E2,WB3_S0244_E2_T24,66.70725042,55.12000744,C,None
78,277.2297794,524.0257353,244,25,B3,2,WB3_S0244_E2,WB3_S0244_E2_T25,64.1238948,52.19705958,C,None
79,272.9759704,519.0369686,244,26,B3,2,WB3_S0244_E2,WB3_S0244_E2_T26,59.13512809,47.94325059,C,None
80,269.1148776,512.2919021,244,27,B3,2,WB3_S0244_E2,WB3_S0244_E2_T27,52.39006158,44.08215775,C,None
81,260.2325142,504.4385633,244,28,B3,2,WB3_S0244_E2,WB3_S0244_E2_T28,44.53672284,35.19979434,C,None
82,253.1884921,497.8769841,244,29,B3,2,WB3_S0244_E2,WB3_S0244_E2_T29,37.97514364,28.15577223,C,None
83,243.7260788,493.750469,244,30,B3,2,WB3_S0244_E2,WB3_S0244_E2_T30,33.84862855,18.69335896,C,None
84,235.8752294,489.9247706,244,31,B3,2,WB3_S0244_E2,WB3_S0244_E2_T31,30.02293015,10.84250952,C,None
85,228.8416031,472.5572519,244,32,B3,2,WB3_S0244_E2,WB3_S0244_E2_T32,12.65541142,3.808883217,C,None
86,220.0433145,457.4482109,244,33,B3,2,WB3_S0244_E2,WB3_S0244_E2_T33,-2.453629568,-4.989405335,C,None
87,208.9493177,444.4697856,244,34,B3,2,WB3_S0244_E2,WB3_S0244_E2_T34,-15.43205492,-16.0834021,C,None
88,203.076225,435.0163339,244,35,B3,2,WB3_S0244_E2,WB3_S0244_E2_T35,-24.88550655,-21.95649479,C,None
